group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
Hispanic,176,0.07386363636363637,0.7328928739971685,0.07786108950861417,0.057092874733732264,0.12250108425265342,ethnicity_group,lr,temperature,1
Other,975,0.19589743589743588,0.889217598033978,0.03662982284217859,0.02721182963454123,0.0590590743437881,ethnicity_group,lr,temperature,1
White,2980,0.1197986577181208,0.8644986015755901,0.018858388835218523,0.014107577481650889,0.030555509848503762,ethnicity_group,lr,temperature,1
Medicaid,690,0.13478260869565217,0.8995875434520271,0.01889174635831775,0.016322513918552287,0.04594712991397226,insurance_group,lr,temperature,1
Medicare,2496,0.14583333333333334,0.8457092860235449,0.01789706649657691,0.012109674845461861,0.03269437600661858,insurance_group,lr,temperature,1
Other,1486,0.1117092866756393,0.8851770719240599,0.025216306405923823,0.018231769840418723,0.04144743618453498,insurance_group,lr,temperature,1
18-44,637,0.10204081632653061,0.9260355029585798,0.024465182057513857,0.014728989089310357,0.04619518182276475,age_band,xgb,none,1
45-64,1630,0.11717791411042945,0.9040382173484349,0.013664867512294678,0.011149720538469516,0.02926051576132778,age_band,xgb,none,1
65-79,1554,0.14221364221364222,0.8923905184440907,0.02558782522812631,0.01618465165446155,0.04108478823579729,age_band,xgb,none,1
80+,851,0.17156286721504113,0.8241426211988729,0.023702510397828735,0.01995380823393068,0.053330553077186864,age_band,xgb,none,1
F,2041,0.13571778539931406,0.8894823874194684,0.011138742491942842,0.007504637197192156,0.02671571762509873,sex,xgb,none,1
M,2631,0.1315089319650323,0.8887302209686192,0.015186699661578464,0.010180894124900348,0.02643014851376799,sex,xgb,none,1
Asian,128,0.15625,0.8300925925925926,0.06202646833025938,0.04119684703459826,0.1162014220446053,ethnicity_group,xgb,none,1
Black,413,0.1016949152542373,0.8951995892696701,0.027423296326976578,0.018978131245056415,0.056208232874668036,ethnicity_group,xgb,none,1
Hispanic,176,0.07386363636363637,0.7989617744218971,0.06808185081238415,0.03564563760911287,0.09903109785168038,ethnicity_group,xgb,none,1
Other,975,0.19589743589743588,0.9057257719841864,0.04146181443097213,0.029850016991306353,0.06384484862940809,ethnicity_group,xgb,none,1
White,2980,0.1197986577181208,0.8850472709098889,0.012728853145811153,0.008472877699618001,0.02325648545486394,ethnicity_group,xgb,none,1
Medicaid,690,0.13478260869565217,0.9061436213324687,0.025444259947719247,0.019712828966819314,0.04977391076613338,insurance_group,xgb,none,1
