group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
Black,413,0.1016949152542373,0.868694647670389,0.0434590944711018,0.028070303101867013,0.07325920243146367,ethnicity_group,mlp,none,1
Hispanic,176,0.07386363636363637,0.7706465313827277,0.06528966163684911,0.04180357790990788,0.10135647575070007,ethnicity_group,mlp,none,1
Other,975,0.19589743589743588,0.8889104070947751,0.03204904582927552,0.02317291366793618,0.05612495781326045,ethnicity_group,mlp,none,1
White,2980,0.1197986577181208,0.869629895419853,0.017004252428960667,0.012268608117649476,0.027437086146956495,ethnicity_group,mlp,none,1
Medicaid,690,0.13478260869565217,0.9020190558527403,0.019340429246274014,0.013211257379851765,0.04552325558304774,insurance_group,mlp,none,1
Medicare,2496,0.14583333333333334,0.8538634208193309,0.01377845572579144,0.010504078650710184,0.02747845473410104,insurance_group,mlp,none,1
Other,1486,0.1117092866756393,0.8867241694048923,0.018598904733268622,0.011523417543290348,0.036291112688337554,insurance_group,mlp,none,1
18-44,637,0.10204081632653061,0.9245562130177515,0.027206395490241016,0.018014439626966836,0.04904730554710462,age_band,mlp,temperature,1
45-64,1630,0.11717791411042945,0.87952293804962,0.022589352651587638,0.014649192497668053,0.038996777983375176,age_band,mlp,temperature,1
65-79,1554,0.14221364221364222,0.8789007206552769,0.013142434674970326,0.010822530894980737,0.03195443519112356,age_band,mlp,temperature,1
80+,851,0.17156286721504113,0.8080734479743515,0.034436479451275544,0.027203849835783285,0.06476023247122968,age_band,mlp,temperature,1
F,2041,0.13571778539931406,0.8694344163658243,0.018701132124536328,0.013788124911351564,0.031959242690671415,sex,mlp,temperature,1
M,2631,0.1315089319650323,0.8737949178482438,0.017091937928675482,0.010685535724022694,0.029993020981284733,sex,mlp,temperature,1
Asian,128,0.15625,0.8189814814814815,0.053099108023421576,0.044489433759344964,0.12324834844424029,ethnicity_group,mlp,temperature,1
Black,413,0.1016949152542373,0.868694647670389,0.04383110854487733,0.030861563366355586,0.07570757821867434,ethnicity_group,mlp,temperature,1
Hispanic,176,0.07386363636363637,0.7706465313827277,0.06902389240159196,0.04594117391773889,0.10606713380746853,ethnicity_group,mlp,temperature,1
Other,975,0.19589743589743588,0.8889104070947751,0.028684015026687756,0.020446262755802462,0.05386374947809493,ethnicity_group,mlp,temperature,1
White,2980,0.1197986577181208,0.869629895419853,0.01923083896988499,0.013374678461336522,0.0293549489358965,ethnicity_group,mlp,temperature,1
Medicaid,690,0.13478260869565217,0.9020190558527403,0.020895173950042638,0.015023479604315685,0.04733859736981227,insurance_group,mlp,temperature,1
Medicare,2496,0.14583333333333334,0.8538634208193309,0.01529772910271894,0.010781655231995913,0.02844641166795146,insurance_group,mlp,temperature,1
Other,1486,0.1117092866756393,0.8867241694048923,0.019584193315507245,0.011901872596619196,0.03558228709116698,insurance_group,mlp,temperature,1
18-44,586,0.08361774744027303,0.8952228936267244,0.036839000151477355,0.02769268838880641,0.059112899920722786,age_band,lr,none,2
45-64,1573,0.12015257469802924,0.8881931064011989,0.01569744492573276,0.013697901296285132,0.03464310818252949,age_band,lr,none,2
65-79,1622,0.13563501849568435,0.8815685384515627,0.019248603112227577,0.016822318893176307,0.03980198040259699,age_band,lr,none,2
80+,891,0.18518518518518517,0.8342182152099509,0.03863576607219336,0.025822563269121884,0.06571898702458079,age_band,lr,none,2
F,2012,0.14463220675944333,0.8610653519990575,0.022412091531107514,0.013953801537723931,0.037734094053155406,sex,lr,none,2
M,2660,0.12481203007518797,0.8879758725624146,0.015293027757147363,0.011652090194539803,0.0286940221954786,sex,lr,none,2
Asian,149,0.10738255033557047,0.9069548872180451,0.0453800290243173,0.03376878925911235,0.08824773134067702,ethnicity_group,lr,none,2
Black,395,0.11139240506329114,0.8837736337736338,0.03907704707826898,0.02620970537081983,0.0669646358228638,ethnicity_group,lr,none,2
Hispanic,143,0.1048951048951049,0.9010416666666666,0.0417493509324638,0.030308909550726834,0.09187531369988099,ethnicity_group,lr,none,2
Other,985,0.1746192893401015,0.8687176406647786,0.029753175448612744,0.019157621218836098,0.05148070348612256,ethnicity_group,lr,none,2
