model,recal,seed,auroc,auprc,brier,ece_quantile,ece_width,prevalence,n,aurc,auroc@0.8,err@0.8,true_cov@0.8,auroc@0.9,err@0.9,true_cov@0.9,auroc@0.95,err@0.95,true_cov@0.95
lr,temperature,2,0.8761020199189148,0.5481638549086317,0.0826269747102018,0.01744214131206315,0.017524705239078,0.13334760069847107,4672,0.02981942906194115,0.8424836462742714,0.053251271073053254,0.7998715753424658,0.8641825821609974,0.07944814462416747,0.8998287671232876,0.8719440118206141,0.09373591707976565,0.9499143835616438
lr,platt,2,0.8761020199189148,0.5481638549086317,0.08275676106967624,0.017338069415018705,0.020847917221350046,0.13334760069847107,4672,0.02943709894911208,0.8367403502147087,0.053251271073053254,0.7998715753424658,0.8608333311328055,0.08063748810656518,0.8998287671232876,0.8681218892839004,0.0939612438035151,0.9499143835616438
lr,isotonic,2,0.8747662562184666,0.5232023929477287,0.08269737925239244,0.009435782529119308,0.013575533189947833,0.13334760069847107,4672,0.028765973201629214,0.8331435991564476,0.06297613001523616,0.8428938356164384,0.8731387818336289,0.08443085606773283,0.9101027397260274,0.871959668929899,0.10749185667752444,0.9856592465753424
xgb,none,2,0.8865134050101346,0.5940179932625629,0.07877584742812958,0.011128560081712357,0.016166203867451507,0.13334760069847107,4672,0.02541538026346205,0.8593634353681173,0.04977254482204977,0.7998715753424658,0.8713340183732239,0.07350142721217888,0.8998287671232876,0.8828293988460709,0.08765209553853087,0.9499143835616438
xgb,temperature,2,0.8865134050101346,0.5940179932625629,0.07857190646623065,0.00653538766162963,0.011214189786401357,0.13334760069847107,4672,0.02541538026346205,0.8593634353681173,0.04977254482204977,0.7998715753424658,0.8713340183732239,0.07350142721217888,0.8998287671232876,0.8828293988460709,0.08765209553853087,0.9499143835616438
xgb,platt,2,0.8865134050101346,0.5940179932625629,0.07857068525858364,0.006402095418823646,0.010827022621690307,0.13334760069847107,4672,0.02540906725366753,0.8593634353681173,0.04977254482204977,0.7998715753424658,0.8717874415444262,0.07350142721217888,0.8998287671232876,0.8828293988460709,0.08765209553853087,0.9499143835616438
xgb,isotonic,2,0.8846006405481487,0.5634238483895195,0.07910659357172872,0.008777115051350728,0.008815532140313866,0.13334760069847107,4672,0.025870050861511083,0.853826453723777,0.06100928948029124,0.8525256849315068,0.8757511429386663,0.08536307762349192,0.9402825342465754,0.8800596898346925,0.09513274336283185,0.9674657534246576
mlp,none,2,0.8769588987550976,0.5629323574554941,0.08200800908892447,0.01827774690148536,0.01801341244582861,0.13334760069847107,4672,0.02838048128162566,0.8498143965854397,0.05191329943805191,0.7998715753424658,0.8629140401691012,0.0780209324452902,0.8998287671232876,0.8736072915340042,0.09351059035601622,0.9499143835616438
mlp,temperature,2,0.8769588987550976,0.562932357455494,0.08155420899698818,0.013331159988438293,0.012426472177595252,0.13334760069847107,4672,0.02838048128162566,0.8498143965854397,0.05191329943805191,0.7998715753424658,0.8629140401691012,0.0780209324452902,0.8998287671232876,0.8736072915340042,0.09351059035601622,0.9499143835616438
mlp,platt,2,0.8769588987550976,0.562932357455494,0.08145513077232233,0.012449084650372401,0.013818428709888713,0.13334760069847107,4672,0.02815869691090371,0.8379917035676094,0.05191329943805191,0.7998715753424658,0.8565802021872096,0.07778306374881065,0.8998287671232876,0.8685297025666116,0.0957638575935106,0.9499143835616438
