group,n,deferral_rate,global_deferral_rate,disparity_ratio,group_var,model,recal,seed
80+,851,0.11750881316098707,0.10017123287671233,1.1730794339489992,age_band,mlp,none,1
F,2041,0.09211170994610485,0.10017123287671233,0.9195425403166706,sex,mlp,none,1
M,2631,0.1064234131508932,0.10017123287671233,1.062414927865327,sex,mlp,none,1
Asian,128,0.078125,0.10017123287671233,0.7799145299145299,ethnicity_group,mlp,none,1
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,mlp,none,1
Hispanic,176,0.09090909090909091,0.10017123287671233,0.9075369075369076,ethnicity_group,mlp,none,1
Other,975,0.11794871794871795,0.10017123287671233,1.1774709620863466,ethnicity_group,mlp,none,1
White,2980,0.09563758389261745,0.10017123287671233,0.9547410084322836,ethnicity_group,mlp,none,1
Medicaid,690,0.1072463768115942,0.10017123287671233,1.0706304967174531,insurance_group,mlp,none,1
Medicare,2496,0.11137820512820513,0.10017123287671233,1.1118781503396888,insurance_group,mlp,none,1
Other,1486,0.07806191117092867,0.10017123287671233,0.7792847200653392,insurance_group,mlp,none,1
18-44,637,0.09262166405023547,0.10017123287671233,0.9246333641938037,age_band,mlp,temperature,1
45-64,1630,0.09386503067484663,0.10017123287671233,0.93704577630958,age_band,mlp,temperature,1
65-79,1554,0.10038610038610038,0.10017123287671233,1.002145002145002,age_band,mlp,temperature,1
80+,851,0.11750881316098707,0.10017123287671233,1.1730794339489992,age_band,mlp,temperature,1
F,2041,0.09211170994610485,0.10017123287671233,0.9195425403166706,sex,mlp,temperature,1
M,2631,0.1064234131508932,0.10017123287671233,1.062414927865327,sex,mlp,temperature,1
Asian,128,0.078125,0.10017123287671233,0.7799145299145299,ethnicity_group,mlp,temperature,1
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,mlp,temperature,1
Hispanic,176,0.09090909090909091,0.10017123287671233,0.9075369075369076,ethnicity_group,mlp,temperature,1
Other,975,0.11794871794871795,0.10017123287671233,1.1774709620863466,ethnicity_group,mlp,temperature,1
White,2980,0.09563758389261745,0.10017123287671233,0.9547410084322836,ethnicity_group,mlp,temperature,1
Medicaid,690,0.1072463768115942,0.10017123287671233,1.0706304967174531,insurance_group,mlp,temperature,1
Medicare,2496,0.11137820512820513,0.10017123287671233,1.1118781503396888,insurance_group,mlp,temperature,1
Other,1486,0.07806191117092867,0.10017123287671233,0.7792847200653392,insurance_group,mlp,temperature,1
18-44,586,0.08532423208191127,0.10017123287671233,0.8517837869373707,age_band,lr,none,2
45-64,1573,0.09535918626827718,0.10017123287671233,0.9519617911226304,age_band,lr,none,2
65-79,1622,0.08816276202219482,0.10017123287671233,0.880120564460885,age_band,lr,none,2
80+,891,0.14029180695847362,0.10017123287671233,1.4005199190384376,age_band,lr,none,2
F,2012,0.10884691848906561,0.10017123287671233,1.086608553805373,sex,lr,none,2
M,2660,0.09360902255639098,0.10017123287671233,0.9344900713321765,sex,lr,none,2
Asian,149,0.06711409395973154,0.10017123287671233,0.6699936901279183,ethnicity_group,lr,none,2
Black,395,0.10632911392405063,0.10017123287671233,1.061473547549497,ethnicity_group,lr,none,2
Hispanic,143,0.06993006993006994,0.10017123287671233,0.698105313489929,ethnicity_group,lr,none,2
Other,985,0.132994923857868,0.10017123287671233,1.3276758210768362,ethnicity_group,lr,none,2
White,3000,0.09166666666666666,0.10017123287671233,0.9150997150997151,ethnicity_group,lr,none,2
Medicaid,651,0.11059907834101383,0.10017123287671233,1.1041002008743945,insurance_group,lr,none,2
Medicare,2579,0.10934470725087243,0.10017123287671233,1.0915779322138377,insurance_group,lr,none,2
Other,1442,0.07905686546463246,0.10017123287671233,0.7892172552366727,insurance_group,lr,none,2
18-44,586,0.08532423208191127,0.10017123287671233,0.8517837869373707,age_band,lr,temperature,2
45-64,1573,0.09535918626827718,0.10017123287671233,0.9519617911226304,age_band,lr,temperature,2
65-79,1622,0.08816276202219482,0.10017123287671233,0.880120564460885,age_band,lr,temperature,2
80+,891,0.14029180695847362,0.10017123287671233,1.4005199190384376,age_band,lr,temperature,2
F,2012,0.10884691848906561,0.10017123287671233,1.086608553805373,sex,lr,temperature,2
M,2660,0.09360902255639098,0.10017123287671233,0.9344900713321765,sex,lr,temperature,2
Asian,149,0.06711409395973154,0.10017123287671233,0.6699936901279183,ethnicity_group,lr,temperature,2
Black,395,0.10632911392405063,0.10017123287671233,1.061473547549497,ethnicity_group,lr,temperature,2
Hispanic,143,0.06993006993006994,0.10017123287671233,0.698105313489929,ethnicity_group,lr,temperature,2
Other,985,0.132994923857868,0.10017123287671233,1.3276758210768362,ethnicity_group,lr,temperature,2
White,3000,0.09166666666666666,0.10017123287671233,0.9150997150997151,ethnicity_group,lr,temperature,2
Medicaid,651,0.11059907834101383,0.10017123287671233,1.1041002008743945,insurance_group,lr,temperature,2
Medicare,2579,0.10934470725087243,0.10017123287671233,1.0915779322138377,insurance_group,lr,temperature,2
Other,1442,0.07905686546463246,0.10017123287671233,0.7892172552366727,insurance_group,lr,temperature,2
18-44,586,0.09215017064846416,0.10017123287671233,0.9199264898923601,age_band,xgb,none,2
45-64,1573,0.08773045136681501,0.10017123287671233,0.87580484783282,age_band,xgb,none,2
65-79,1622,0.0998766954377312,0.10017123287671233,0.9970596604382055,age_band,xgb,none,2
80+,891,0.12794612794612795,0.10017123287671233,1.2772741661630551,age_band,xgb,none,2
F,2012,0.10487077534791253,0.10017123287671233,1.0469150906526652,sex,xgb,none,2
M,2660,0.09661654135338346,0.10017123287671233,0.9645138487243751,sex,xgb,none,2
Asian,149,0.10738255033557047,0.10017123287671233,1.0719899042046692,ethnicity_group,xgb,none,2
Black,395,0.06582278481012659,0.10017123287671233,0.6571026722925457,ethnicity_group,xgb,none,2
Hispanic,143,0.09090909090909091,0.10017123287671233,0.9075369075369076,ethnicity_group,xgb,none,2
Other,985,0.1299492385786802,0.10017123287671233,1.2972710312811837,ethnicity_group,xgb,none,2
White,3000,0.095,0.10017123287671233,0.9483760683760684,ethnicity_group,xgb,none,2
Medicaid,651,0.09984639016897082,0.10017123287671233,0.9967571257893839,insurance_group,xgb,none,2
Medicare,2579,0.10779371849554091,0.10017123287671233,1.0760945572888188,insurance_group,xgb,none,2
